recno,Q,Img,Name,Type,Score,delSc,Prob,zsp,zph,e_zph,Mod,Ref,gmag,rmag,zmag,Survey,Sloan,_RA,_DE,pair_ok
172,A,172,DESI-221.8241+78.0430,DC,4.0,0,0.3,,0.415,0.281,L18,,18.21,16.6,15.73,MzLS,Sloan,221.8241,78.043,True
173,A,173,DESI-227.3528+39.0279,DC,4.0,0,1.0,0.5975,,,L18,,21.73,20.18,18.55,MzLS,Sloan,227.3528,39.0279,True
174,A,174,DESI-227.5364+20.6236,DC,3.5,1,1.0,0.5847,,,L18,,22.27,20.31,18.67,DECaLS,Sloan,227.5364,20.6236,True
175,A,175,DESI-234.8707+16.8379,DC,3.5,1,0.99,0.3979,,,L18,,20.02,18.12,17.15,DECaLS,Sloan,234.8707,16.8379,True
176,A,176,DESI-240.8979+05.8745,DC,3.5,1,0.97,0.6753,,,shielded,,24.18,23.49,21.68,DECaLS,Sloan,240.8979,5.8745,True
177,A,177,DESI-241.2220+74.5292,DC,3.5,1,0.15,,0.331,0.021,L18,,20.79,19.23,18.33,MzLS,Sloan,241.222,74.5292,True
178,A,178,DESI-245.7514+21.6226,DC,4.0,0,1.0,,0.782,0.062,L18,,21.66,20.11,18.31,DECaLS,Sloan,245.7514,21.6226,True
179,A,179,DESI-246.0062+01.4836,DC,3.5,1,1.0,,0.912,0.105,L18,,22.73,21.13,19.19,DECaLS,Sloan,246.0062,1.4836,True
180,A,180,DESI-248.5498+70.9303,DC,3.5,1,0.78,,0.237,0.017,L18,,17.97,16.49,15.64,MzLS,Sloan,248.5498,70.9303,True
181,A,181,DESI-252.2720+02.3993,DC,4.0,0,1.0,,0.48,0.139,L18,,20.22,19.16,18.25,DECaLS,Sloan,252.272,2.3993,True
182,A,182,DESI-252.9173+28.0881,DC,3.5,1,1.0,,0.719,0.13,L18,,22.11,20.31,18.65,DECaLS,Sloan,252.9173,28.0881,True
183,A,183,DESI-253.2534+26.8843,DC,3.5,1,0.97,0.5214,,,shielded,,23.66,21.78,20.35,DECaLS,Sloan,253.2534,26.8843,True
184,A,184,DESI-254.4235+34.8162,DC,4.0,0,1.0,0.5777,,,L18,,22.71,20.88,19.07,MzLS,Sloan,254.4235,34.8162,True
185,A,185,DESI-260.8405+23.8442,DC,4.0,0,0.99,,0.424,0.155,shielded,,18.35,16.99,16.15,DECaLS,Sloan,260.8405,23.8442,True
186,A,186,DESI-260.9006+34.1995,DC,3.5,1,0.85,0.4184,,,shielded,h,19.87,18.17,17.14,MzLS,Sloan,260.9006,34.1995,True
187,A,187,DESI-266.4075+39.8584,REX,4.0,0,0.17,,0.339,0.05,L18,,19.05,17.38,16.44,MzLS,Sloan,266.4075,39.8584,True
188,A,188,DESI-277.9494+54.3033,DC,4.0,0,0.14,,0.252,0.009,L18,,18.13,16.59,15.71,MzLS,Sloan,277.9494,54.3033,True
189,A,189,DESI-278.8338+46.1076,DC,3.5,1,0.28,,0.42,0.016,L18,,19.63,17.72,16.67,MzLS,Sloan,278.8338,46.1076,True
190,A,190,DESI-287.1099+70.4625,DC,3.5,1,0.84,,0.518,0.049,shielded,,21.87,19.81,18.62,MzLS,Sloan,287.1099,70.4625,True
191,A,191,DESI-292.2833+55.8034,DC,3.5,1,0.95,,0.859,0.067,L18,,24.02,21.99,19.78,MzLS,Sloan,292.2833,55.8034,True
192,A,192,DESI-310.8020-06.1649,DC,3.5,1,0.61,0.5076,,,L18,,22.5,20.43,18.55,DECaLS,Sloan,310.802,-6.1649,True
193,A,193,DESI-327.8408+13.7884,DC,4.0,0,0.1,0.2015,,,L18,,19.29,18.05,17.21,DECaLS,Sloan,327.8408,13.7884,True
194,A,194,DESI-329.6820+02.9584,DC,4.0,0,1.0,0.2886,,,L18,,19.13,17.59,16.74,DECaLS,Sloan,329.682,2.9584,True
195,A,195,DESI-333.3655-13.2491,DC,4.0,0,1.0,,0.11,0.008,L18,,17.74,16.69,15.93,DECaLS,Sloan,333.3655,-13.2491,True
196,A,196,DESI-333.9656+04.5843,DC,4.0,0,0.19,0.5863,,,L18,e,22.43,20.47,18.82,DECaLS,Sloan,333.9656,4.5843,True
197,A,197,DESI-335.5357+27.7599,DC,3.5,1,0.55,0.4695,,,L18,,20.37,18.5,17.34,DECaLS,Sloan,335.5357,27.7599,True
198,A,198,DESI-339.8880-04.4883,DC,3.5,1,1.0,0.5318,,,L18,,21.09,19.32,18.05,DECaLS,Sloan,339.888,-4.4883,True
199,A,199,DESI-340.2304-00.0128,DC,3.5,1,0.59,0.424,,,L18,e,20.72,19.2,18.21,DECaLS,Sloan,340.2304,-0.0128,True
200,A,200,DESI-341.0206+27.9877,DC,3.5,1,0.79,0.3373,,,shielded,,19.19,17.39,16.43,DECaLS,Sloan,341.0206,27.9877,True
201,A,201,DESI-341.8012-02.0939,DC,4.0,0,1.0,0.3535,,,L18,,19.83,18.17,17.29,DECaLS,Sloan,341.8012,-2.0939,True
202,A,202,DESI-342.1516-01.3928,DC,3.5,1,0.99,0.6776,,,L18,d,20.86,18.92,17.8,DECaLS,Sloan,342.1516,-1.3928,True
203,A,203,DESI-342.9290-03.4136,REX,3.5,1,0.13,0.258,,,shielded,,18.17,16.66,15.82,DECaLS,Sloan,342.929,-3.4136,True
204,A,204,DESI-343.0402-04.2187,DC,3.5,1,0.97,0.4208,,,L18,,19.67,17.83,16.83,DECaLS,Sloan,343.0402,-4.2187,True
205,A,205,DESI-344.5567+17.1506,DC,4.0,0,0.91,0.6646,,,L18,,22.96,20.81,18.9,DECaLS,Sloan,344.5567,17.1506,True
206,A,206,DESI-345.0719+22.2249,DC,4.0,0,0.44,0.4182,,,L18,,21.35,19.3,18.2,DECaLS,Sloan,345.0719,22.2249,True
207,A,207,DESI-345.8609+23.4760,DC,3.5,1,0.86,0.3252,,,L18,,19.04,17.37,16.43,DECaLS,Sloan,345.8609,23.476,True
208,A,208,DESI-346.7668-13.3744,DC,4.0,0,0.96,,0.575,0.1,L18,,20.83,18.93,17.73,DECaLS,Sloan,346.7668,-13.3744,True
209,A,209,DESI-347.0926-02.1923,DC,3.5,1,0.65,0.3578,,,L18,d,21.58,19.97,19.12,DECaLS,Sloan,347.0926,-2.1923,True
210,A,210,DESI-347.7824+05.4971,DC,3.5,1,0.17,0.5875,,,L18,,20.75,18.94,17.25,DECaLS,Sloan,347.7824,5.4971,True
211,A,211,DESI-351.7484+20.4496,DC,3.5,1,0.15,0.6529,,,L18,,22.82,20.83,18.86,DECaLS,Sloan,351.7484,20.4496,True
212,A,212,DESI-353.4836-14.3846,DC,3.5,1,0.57,,0.372,0.061,L18,,20.36,18.99,18.15,DECaLS,Sloan,353.4836,-14.3846,True
213,A,213,DESI-353.5287-07.7712,REX,4.0,0,0.13,,0.522,0.1,L18,,19.96,18.11,17.16,DECaLS,Sloan,353.5287,-7.7712,True
214,A,214,DESI-355.2727-57.2679,REX,4.0,0,0.95,,0.447,0.044,L18,,19.22,17.53,16.5,DECaLS,Sloan,355.2727,-57.2679,True
215,A,215,DESI-356.7894-62.7765,REX,4.0,0,0.29,,0.252,0.033,shielded,,19.62,18.23,17.43,DECaLS,Sloan,356.7894,-62.7765,True
216,A,216,DESI-359.7003-61.4330,REX,4.0,0,0.94,,0.73,0.044,shielded,,19.96,18.06,17.11,DECaLS,Sloan,359.7003,-61.433,True
217,B,217,DESI-004.0930-09.1126,DC,3.0,0,0.98,,0.445,0.021,shielded,,22.07,20.24,19.22,DECaLS,Sloan,4.093,-9.1126,True
218,B,218,DESI-004.2564-10.1530,DC,3.0,0,0.6,0.5201,,,L18,,21.22,19.52,18.29,DECaLS,Sloan,4.2564,-10.153,True
219,B,219,DESI-004.8654+32.0834,REX,3.0,0,0.82,0.5566,,,L18,,19.9,18.13,17.21,MzLS,Sloan,4.8654,32.0834,True
220,B,220,DESI-005.2593-26.5437,DC,3.0,0,0.99,0.4548,,,shielded,,23.24,21.31,19.77,DECaLS,Sloan,5.2593,-26.5437,True
221,B,221,DESI-008.0382-11.7536,DC,3.0,0,0.7,,0.542,0.012,L18,,20.36,18.49,17.23,DECaLS,Sloan,8.0382,-11.7536,True
222,B,222,DESI-009.5789-22.7448,DC,3.0,0,0.95,,0.659,0.028,L18,,22.95,20.87,19.36,DECaLS,Sloan,9.5789,-22.7448,True
223,B,223,DESI-010.9823-38.8884,REX,3.0,0,0.83,,0.636,0.041,L18,,20.87,19.87,19.02,DECaLS,Sloan,10.9823,-38.8884,True
224,B,224,DESI-011.3586-34.2832,REX,3.0,0,1.0,,0.86,0.078,L18,,21.52,20.81,19.63,DECaLS,Sloan,11.3586,-34.2832,True
225,B,225,DESI-013.2126-24.3469,DC,3.0,0,0.97,,0.601,0.011,shielded,,21.8,19.92,18.5,DECaLS,Sloan,13.2126,-24.3469,True
226,B,226,DESI-013.8104-15.9165,REX,3.0,2,0.32,,0.741,0.055,shielded,,21.5,20.43,19.2,DECaLS,Sloan,13.8104,-15.9165,True
227,B,227,DESI-014.1400-29.2327,DC,3.0,0,0.99,0.5234,,,L18,,21.47,19.53,18.18,DECaLS,Sloan,14.14,-29.2327,True
228,B,228,DESI-014.3122+21.6428,DC,3.0,0,0.28,,0.824,0.038,L18,,23.62,21.38,19.46,DECaLS,Sloan,14.3122,21.6428,True
229,B,229,DESI-014.6685+05.7665,DC,3.0,0,0.44,0.1696,,,L18,,22.8,20.87,19.27,DECaLS,Sloan,14.6685,5.7665,True
230,B,230,DESI-014.7995-22.0867,DC,3.0,0,1.0,,0.78,0.057,L18,,22.99,20.97,19.15,DECaLS,Sloan,14.7995,-22.0867,True
231,B,231,DESI-015.2049+18.3077,DC,3.0,2,0.51,,0.593,0.012,L18,,21.4,19.57,18.17,DECaLS,Sloan,15.2049,18.3077,True
232,B,232,DESI-015.4982-21.4487,DC,3.0,0,0.97,,0.435,0.027,L18,d,19.87,18.05,17.04,DECaLS,Sloan,15.4982,-21.4487,True
233,B,233,DESI-015.7396-29.1895,DC,3.0,0,1.0,,0.266,0.013,L18,d,18.66,17.19,16.36,DECaLS,Sloan,15.7396,-29.1895,True
234,B,234,DESI-015.9372+27.1025,DC,3.0,0,0.69,,0.381,0.022,L18,,20.2,18.41,17.44,DECaLS,Sloan,15.9372,27.1025,True
235,B,235,DESI-016.1300-19.8697,DC,3.0,0,1.0,,0.42,0.024,shielded,,21.34,19.55,18.59,DECaLS,Sloan,16.13,-19.8697,True
236,B,236,DESI-016.3170+01.4392,DC,3.0,0,0.61,,0.253,0.008,shielded,e,18.79,17.33,16.53,DECaLS,Sloan,16.317,1.4392,True
237,B,237,DESI-016.5259-31.0774,DC,3.0,0,0.99,0.2603,,,L18,,21.15,19.46,18.21,DECaLS,Sloan,16.5259,-31.0774,True
238,B,238,DESI-016.5369-37.0055,REX,3.0,0,0.85,,0.419,0.081,shielded,,21.86,20.4,19.62,DECaLS,Sloan,16.5369,-37.0055,True
239,B,239,DESI-018.7209-25.2845,DC,3.0,0,0.23,,0.787,0.034,L18,,23.08,21.28,19.51,DECaLS,Sloan,18.7209,-25.2845,True
240,B,240,DESI-020.7960+30.9619,DC,3.0,0,0.92,,0.622,0.021,L18,,21.47,19.83,18.4,DECaLS,Sloan,20.796,30.9619,True
241,B,241,DESI-021.1715-06.9096,DC,3.0,2,0.32,,0.403,0.033,L18,,20.67,18.8,17.89,DECaLS,Sloan,21.1715,-6.9096,True
242,B,242,DESI-023.0157-16.0040,DC,3.0,0,0.98,,0.492,0.047,L18,,20.48,19.01,18.0,DECaLS,Sloan,23.0157,-16.004,True
243,B,243,DESI-024.7188-16.8552,DC,3.0,0,0.94,,0.553,0.016,L18,,21.32,19.56,18.32,DECaLS,Sloan,24.7188,-16.8552,True
244,B,244,DESI-025.7083-19.7918,DC,3.0,0,1.0,,0.267,0.016,L18,,18.6,17.17,16.4,DECaLS,Sloan,25.7083,-19.7918,True
245,B,245,DESI-025.9390-26.2946,DC,3.0,0,0.99,,0.334,0.019,L18,,19.17,17.55,16.68,DECaLS,Sloan,25.939,-26.2946,True
246,B,246,DESI-026.7621-01.9526,REX,3.0,0,0.28,,0.16,0.083,L18,,19.69,19.26,19.08,DECaLS,Sloan,26.7621,-1.9526,True
247,B,247,DESI-027.4483+12.4652,DC,3.0,0,0.64,,0.403,0.011,L18,,20.19,18.29,17.3,DECaLS,Sloan,27.4483,12.4652,True
248,B,248,DESI-027.5036+27.4267,DC,3.0,0,0.64,,0.3,0.011,L18,,19.13,17.52,16.64,DECaLS,Sloan,27.5036,27.4267,True
249,B,249,DESI-027.8944+05.1619,DC,3.0,0,1.0,,0.485,0.034,L18,,21.89,20.08,18.95,DECaLS,Sloan,27.8944,5.1619,True
250,B,250,DESI-027.9100-24.4413,DC,3.0,0,0.5,,0.42,0.04,L18,,20.81,19.17,18.25,DECaLS,Sloan,27.91,-24.4413,True
251,B,251,DESI-028.6096-23.4067,DC,3.0,2,1.0,,0.828,0.067,L18,,23.8,21.76,19.93,DECaLS,Sloan,28.6096,-23.4067,True
252,B,252,DESI-029.3219+25.4699,DC,3.0,0,0.96,,0.305,0.021,L18,,19.98,18.35,17.36,DECaLS,Sloan,29.3219,25.4699,True
253,B,253,DESI-029.9198-24.0197,REX,3.0,2,0.88,,0.813,0.062,shielded,,20.93,20.22,19.03,DECaLS,Sloan,29.9198,-24.0197,True
254,B,254,DESI-030.4360-27.6618,DC,3.0,0,1.0,,0.865,0.08,L18,d,22.38,21.26,19.53,DECaLS,Sloan,30.436,-27.6618,True
255,B,255,DESI-030.5443-01.3779,REX,3.0,2,0.96,,0.694,0.039,shielded,,21.72,20.54,19.35,DECaLS,Sloan,30.5443,-1.3779,True
256,B,256,DESI-031.0343-29.3024,DC,3.0,0,0.13,,0.746,0.208,L18,,21.66,20.68,19.01,DECaLS,Sloan,31.0343,-29.3024,True
257,B,257,DESI-033.4120-28.2374,DC,3.0,0,0.44,,0.795,0.03,L18,,22.07,20.33,18.55,DECaLS,Sloan,33.412,-28.2374,True
258,B,258,DESI-033.4558+14.1537,DC,3.0,0,0.92,,0.329,0.04,L18,,20.26,18.89,18.08,DECaLS,Sloan,33.4558,14.1537,True
259,B,259,DESI-033.8095-29.1570,DC,3.0,0,1.0,,0.646,0.334,shielded,d,20.57,20.18,19.42,DECaLS,Sloan,33.8095,-29.157,True
260,B,260,DESI-034.0760+02.9333,DC,3.0,0,0.2,,0.974,0.051,L18,,23.67,21.9,19.79,DECaLS,Sloan,34.076,2.9333,True
261,B,261,DESI-034.5995-01.9843,DC,3.0,0,0.11,,0.312,0.033,L18,e,19.68,18.34,17.58,DECaLS,Sloan,34.5995,-1.9843,True
262,B,262,DESI-034.7077-14.7784,DC,3.0,2,0.7,,0.576,0.011,shielded,,21.88,19.97,18.63,DECaLS,Sloan,34.7077,-14.7784,True
263,B,263,DESI-035.0142+02.7345,DC,3.0,0,0.97,0.4549,,,L18,,19.86,18.37,17.5,DECaLS,Sloan,35.0142,2.7345,True
264,B,264,DESI-036.0843-31.9371,DC,3.0,2,0.93,0.2928,,,L18,,22.32,20.44,19.26,DECaLS,Sloan,36.0843,-31.9371,True
265,B,265,DESI-037.0680-29.3960,DC,3.0,0,0.45,,0.292,0.01,L18,,19.27,17.71,16.88,DECaLS,Sloan,37.068,-29.396,True
266,B,266,DESI-037.7246+20.8596,DC,3.0,0,0.98,,0.653,0.065,L18,,21.8,20.24,18.76,DECaLS,Sloan,37.7246,20.8596,True
267,B,267,DESI-038.5455-35.7895,REX,3.0,0,0.4,,0.534,0.069,L18,,22.16,20.46,19.33,DECaLS,Sloan,38.5455,-35.7895,True
268,B,268,DESI-038.6407-14.8060,DC,3.0,0,1.0,0.5866,,,L18,,23.18,21.13,19.3,DECaLS,Sloan,38.6407,-14.806,True
269,B,269,DESI-039.7648-30.8467,DC,3.0,2,0.9,,0.487,0.041,shielded,,20.92,19.27,18.17,DECaLS,Sloan,39.7648,-30.8467,True
270,B,270,DESI-040.7511-19.8931,REX,3.0,2,0.97,0.3527,,,shielded,,21.57,20.71,19.5,DECaLS,Sloan,40.7511,-19.8931,True
271,B,271,DESI-041.1456-17.2445,REX,3.0,2,0.82,0.3963,,,shielded,,21.97,20.44,19.66,DECaLS,Sloan,41.1456,-17.2445,True
272,B,272,DESI-042.2860-28.3551,REX,3.0,2,0.47,0.5934,,,shielded,,21.98,21.2,19.86,DECaLS,Sloan,42.286,-28.3551,True
273,B,273,DESI-042.3475+16.8733,DC,3.0,2,0.84,,0.696,0.087,shielded,,22.09,20.76,19.43,DECaLS,Sloan,42.3475,16.8733,True
274,B,274,DESI-042.5350+00.1379,DC,3.0,0,0.87,,0.805,0.024,L18,,23.14,21.21,19.26,DECaLS,Sloan,42.535,0.1379,True
275,B,275,DESI-042.8971-12.3337,DC,3.0,0,1.0,,0.44,0.008,L18,d,20.45,18.57,17.57,DECaLS,Sloan,42.8971,-12.3337,True
276,B,276,DESI-044.1841-09.2468,DC,3.0,0,1.0,,0.885,0.076,L18,,22.06,21.12,19.58,DECaLS,Sloan,44.1841,-9.2468,True
277,B,277,DESI-044.3830-23.3527,REX,3.0,2,0.4,0.5291,,,shielded,,20.6,19.49,18.64,DECaLS,Sloan,44.383,-23.3527,True
278,B,278,DESI-044.5235-34.8959,REX,3.0,0,0.81,,0.442,0.052,shielded,,18.92,17.26,16.37,DECaLS,Sloan,44.5235,-34.8959,True
279,B,279,DESI-045.5878-04.3899,REX,3.0,0,0.2,,0.392,0.038,shielded,,21.63,19.86,18.96,DECaLS,Sloan,45.5878,-4.3899,True
280,B,280,DESI-046.4172-29.5712,DC,3.0,0,0.24,0.6197,,,L18,g,20.36,18.61,17.71,DECaLS,Sloan,46.4172,-29.5712,True
281,B,281,DESI-047.1385-17.6676,REX,3.0,0,0.78,0.1967,,,shielded,,21.31,20.5,19.43,DECaLS,Sloan,47.1385,-17.6676,True
282,B,282,DESI-047.3494-30.1968,DC,3.0,0,0.89,0.2426,,,L18,,21.41,19.76,18.76,DECaLS,Sloan,47.3494,-30.1968,True
283,B,283,DESI-047.4380-14.6211,DC,3.0,0,1.0,0.5425,,,L18,d,22.58,21.34,19.54,DECaLS,Sloan,47.438,-14.6211,True
284,B,284,DESI-048.6263-09.5613,DC,3.0,0,0.1,0.3244,,,L18,,20.98,19.38,18.31,DECaLS,Sloan,48.6263,-9.5613,True
285,B,285,DESI-048.6484-21.4665,DC,3.0,0,0.45,0.5689,,,L18,d,20.37,18.53,17.5,DECaLS,Sloan,48.6484,-21.4665,True
286,B,286,DESI-048.9389-29.9643,DC,3.0,0,0.51,0.3428,,,L18,,21.22,19.47,18.23,DECaLS,Sloan,48.9389,-29.9643,True
287,B,287,DESI-050.7649-27.5687,DC,3.0,0,0.65,0.3364,,,L18,,20.33,18.44,17.23,DECaLS,Sloan,50.7649,-27.5687,True
288,B,288,DESI-051.2051-10.3481,DC,3.0,0,1.0,0.4279,,,L18,a,20.83,19.27,18.13,DECaLS,Sloan,51.2051,-10.3481,True
289,B,289,DESI-053.7319-19.9224,DC,3.0,0,0.65,0.2256,,,shielded,,20.81,19.0,18.03,DECaLS,Sloan,53.7319,-19.9224,True
290,B,290,DESI-054.7129-14.1391,REX,3.0,2,0.39,0.673,,,shielded,,23.81,22.36,20.38,DECaLS,Sloan,54.7129,-14.1391,True
291,B,291,DESI-054.9589-00.1356,DC,3.0,0,0.94,0.2677,,,L18,,22.12,20.72,19.19,DECaLS,Sloan,54.9589,-0.1356,True
292,B,292,DESI-055.0363-25.7609,REX,3.0,2,0.18,0.2943,,,shielded,f,20.58,18.82,17.69,DECaLS,Sloan,55.0363,-25.7609,True
293,B,293,DESI-055.8328-16.2951,DC,3.0,0,0.88,0.2229,,,L18,,21.54,19.98,18.93,DECaLS,Sloan,55.8328,-16.2951,True
294,B,294,DESI-056.2001-20.9116,DC,3.0,0,0.88,,0.696,0.017,L18,,21.8,19.91,18.26,DECaLS,Sloan,56.2001,-20.9116,True
295,B,295,DESI-057.5232-13.1978,DC,3.0,0,1.0,,0.573,0.111,L18,,22.46,20.95,19.73,DECaLS,Sloan,57.5232,-13.1978,True
296,B,296,DESI-058.8732-36.5641,REX,3.0,2,0.91,0.6149,,,shielded,,18.45,16.83,15.98,DECaLS,Sloan,58.8732,-36.5641,True
297,B,297,DESI-060.9086-07.3160,DC,3.0,0,0.29,,0.785,0.064,L18,,21.94,20.62,19.01,DECaLS,Sloan,60.9086,-7.316,True
298,B,298,DESI-061.6770-23.3205,DC,3.0,0,1.0,0.5975,,,L18,,22.01,20.11,18.75,DECaLS,Sloan,61.677,-23.3205,True
299,B,299,DESI-061.6880-15.0482,REX,3.0,2,1.0,,0.561,0.293,shielded,,20.42,19.82,18.83,DECaLS,Sloan,61.688,-15.0482,True
300,B,300,DESI-062.2475-05.9982,DC,3.0,0,1.0,,0.607,0.034,L18,,21.14,19.59,18.27,DECaLS,Sloan,62.2475,-5.9982,True
301,B,301,DESI-062.7834-22.9431,REX,3.0,0,0.93,0.5777,,,shielded,d,22.73,20.89,19.67,DECaLS,Sloan,62.7834,-22.9431,True
302,B,302,DESI-063.3879-16.8328,DC,3.0,0,0.87,,0.306,0.031,L18,,20.82,19.23,18.41,DECaLS,Sloan,63.3879,-16.8328,True
303,B,303,DESI-063.6168-19.9192,DC,3.0,0,1.0,,0.571,0.022,L18,,21.07,19.42,18.15,DECaLS,Sloan,63.6168,-19.9192,True
304,B,304,DESI-065.2568-21.6299,DC,3.0,0,1.0,,0.927,0.113,L18,,22.69,21.25,19.46,DECaLS,Sloan,65.2568,-21.6299,True
305,B,305,DESI-065.3372-29.8915,DC,3.0,0,0.12,0.2015,,,L18,,19.82,17.91,16.86,DECaLS,Sloan,65.3372,-29.8915,True
306,B,306,DESI-065.5808-26.9514,DC,3.0,0,0.66,0.2886,,,L18,,21.31,19.43,18.21,DECaLS,Sloan,65.5808,-26.9514,True
307,B,307,DESI-066.2134-23.1960,DC,3.0,0,0.82,,0.854,0.072,L18,,22.58,21.18,19.5,DECaLS,Sloan,66.2134,-23.196,True
308,B,308,DESI-068.3176-41.0553,REX,3.0,0,0.99,0.5863,,,L18,,21.7,20.69,19.59,DECaLS,Sloan,68.3176,-41.0553,True
309,B,309,DESI-069.9349-04.6098,DC,3.0,0,0.98,,0.38,0.014,L18,,20.25,18.4,17.43,DECaLS,Sloan,69.9349,-4.6098,True
310,B,310,DESI-071.2400-07.6007,DC,3.0,0,1.0,0.3535,,,L18,,20.64,18.89,17.93,DECaLS,Sloan,71.24,-7.6007,True
311,B,311,DESI-071.5624-20.0285,DC,3.0,0,0.97,0.6646,,,L18,d,20.44,18.56,17.59,DECaLS,Sloan,71.5624,-20.0285,True
312,B,312,DESI-071.8657-02.8613,DC,3.0,0,0.78,0.4182,,,shielded,,20.44,18.48,17.45,DECaLS,Sloan,71.8657,-2.8613,True
313,B,313,DESI-072.0528-30.3308,DC,3.0,0,0.78,,0.765,0.02,L18,,21.82,19.74,17.95,DECaLS,Sloan,72.0528,-30.3308,True
314,B,314,DESI-073.4865-21.3622,DC,3.0,0,0.27,,0.258,0.011,shielded,,19.31,17.84,17.02,DECaLS,Sloan,73.4865,-21.3622,True
315,B,315,DESI-078.3580-21.4717,DC,3.0,0,0.96,,0.362,0.029,L18,,21.69,20.03,19.14,DECaLS,Sloan,78.358,-21.4717,True
316,B,316,DESI-087.1036-29.8510,REX,3.0,2,0.89,,0.838,0.106,shielded,,21.34,20.79,19.81,DECaLS,Sloan,87.1036,-29.851,True
317,B,317,DESI-089.6411-28.7418,DC,3.0,0,0.84,,0.447,0.042,shielded,,21.94,20.33,19.33,DECaLS,Sloan,89.6411,-28.7418,True
318,B,318,DESI-091.2815-33.8949,REX,3.0,2,0.1,0.4724,,,shielded,,21.32,20.38,19.38,DECaLS,Sloan,91.2815,-33.8949,True
319,B,319,DESI-101.4601+48.5810,DC,3.0,0,0.56,,0.499,0.079,L18,,21.13,19.54,18.25,MzLS,Sloan,101.4601,48.581,True
320,B,320,DESI-110.6705+52.2273,DC,3.0,0,0.83,,0.619,0.013,L18,,21.78,19.84,18.28,MzLS,Sloan,110.6705,52.2273,True
321,B,321,DESI-115.6174+16.6039,DC,3.0,0,0.28,0.2547,,,L18,,23.14,21.13,19.25,DECaLS,Sloan,115.6174,16.6039,True
322,B,322,DESI-115.8731+50.8031,DC,3.0,0,0.99,0.6152,,,L18,,22.63,20.76,18.72,MzLS,Sloan,115.8731,50.8031,True
323,B,323,DESI-116.9217+26.8160,REX,3.0,0,0.56,,0.285,0.096,shielded,,21.25,21.39,19.01,DECaLS,Sloan,116.9217,26.816,True
324,B,324,DESI-121.8813+44.1801,DC,3.0,0,0.99,,0.415,0.028,L18,,20.87,19.11,18.05,MzLS,Sloan,121.8813,44.1801,True
325,B,325,DESI-122.9433+00.9701,DC,3.0,0,0.79,0.4485,,,L18,,20.95,19.42,18.04,DECaLS,Sloan,122.9433,0.9701,True
326,B,326,DESI-128.8049+41.1131,DC,3.0,0,1.0,0.5163,,,L18,,21.41,19.49,17.92,MzLS,Sloan,128.8049,41.1131,True
327,B,327,DESI-129.6057+30.2873,DC,3.0,0,0.95,,0.283,0.02,L18,,18.27,16.75,15.85,DECaLS,Sloan,129.6057,30.2873,True
328,B,328,DESI-130.7280-02.0271,DC,3.0,0,0.38,,0.422,0.027,L18,,20.52,18.75,17.82,DECaLS,Sloan,130.728,-2.0271,True
329,B,329,DESI-131.3340-00.9157,DC,3.0,0,0.88,,0.393,0.013,L18,"g,e",19.7,17.79,16.84,DECaLS,Sloan,131.334,-0.9157,True
330,B,330,DESI-132.6382+40.6196,REX,3.0,2,0.7,0.4135,,,shielded,,21.78,20.26,19.3,MzLS,Sloan,132.6382,40.6196,True
331,B,331,DESI-133.3800+23.3652,DC,3.0,0,0.94,,0.284,0.042,L18,,18.9,17.64,16.86,DECaLS,Sloan,133.38,23.3652,True
332,B,332,DESI-134.1503+23.8641,REX,3.0,0,0.19,0.4684,,,shielded,,20.91,19.09,17.78,DECaLS,Sloan,134.1503,23.8641,True
333,B,333,DESI-136.4227+34.8998,DC,3.0,0,0.17,0.5114,,,L18,,21.23,19.32,18.09,MzLS,Sloan,136.4227,34.8998,True
334,B,334,DESI-136.9765+00.9590,DC,3.0,0,0.39,,0.697,0.023,L18,e,22.84,20.61,18.97,DECaLS,Sloan,136.9765,0.959,True
335,B,335,DESI-137.4367+22.4354,DC,3.0,0,0.49,0.6916,,,shielded,,21.93,20.6,19.84,DECaLS,Sloan,137.4367,22.4354,True
336,B,336,DESI-138.0524+33.3767,DC,3.0,0,0.97,,0.807,0.041,L18,,22.91,20.98,19.05,MzLS,Sloan,138.0524,33.3767,True
337,B,337,DESI-139.8960+30.5323,DC,3.0,0,0.13,0.6412,,,L18,,19.92,18.07,17.11,DECaLS,Sloan,139.896,30.5323,True
338,B,338,DESI-147.7529+08.4157,DC,3.0,0,1.0,0.6992,,,L18,,19.94,18.2,17.28,DECaLS,Sloan,147.7529,8.4157,True
339,B,339,DESI-151.9618+04.6107,DC,3.0,0,0.33,0.1548,,,L18,,20.36,18.64,17.74,DECaLS,Sloan,151.9618,4.6107,True
340,B,340,DESI-154.4431-04.0841,DC,3.0,0,0.51,,0.257,0.008,shielded,,18.75,17.26,16.44,DECaLS,Sloan,154.4431,-4.0841,True
341,B,341,DESI-157.4831-05.4213,DC,3.0,0,1.0,,0.772,0.102,L18,,21.99,20.72,19.15,DECaLS,Sloan,157.4831,-5.4213,True
342,B,342,DESI-158.2306+75.3149,DC,3.0,0,0.82,,0.629,0.059,L18,,20.52,19.43,18.28,MzLS,Sloan,158.2306,75.3149,True
343,B,343,DESI-159.3007+04.5911,DC,3.0,0,1.0,,0.58,0.15,L18,,21.77,20.47,19.15,DECaLS,Sloan,159.3007,4.5911,True
